# Serbian;article;singular;plural;level
ceiling, blanket, quilt, cover;die;Decke;-n;?
joint;das;Gelenk;-e;?
belt, girdle;der;Gürtel;-;?
anniversary;der;Jahrestag;-e;?
candle;die;Kerze;-n;?
creaking, scrooping;das;Knarren;-;?
claw, talon;die;Kralle;-n;?
festivity;die;Lustbarkeit;-en;?
space, room, expanse;der;Raum;-äume;?
pillar, column;die;Säule;-n;?
bowl, dish;die;Schüssel;-n;?
rod, staff;der;Stab;-äbe;?
sting, stab, tinge;der;Stich;-e;?
groan, moan;das;Stöhnen;-;?
hum, drone, buzzing, murmur;das;Summen;-;?
gown, cloak, cape, wrap, shawl;der;Umhang;-änge;?
enjoyment, pleasure, delight;das;Vergnügen;-;?
forgiveness, pardon;die;Verzeihung;-en;?
preference;das;Vorziehen;-;?
angle, elbow, corner, recess;der;Winkel;-;?
goat;die;Ziege;-n;?
